id,_URI,instanceID,_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
92,uuid:acf48791-936d-4066-b0a9-55ed1cbad1e8,uuid:918df268-c04f-4bc9-b818-28dddd3495dd,uuid:918df268-c04f-4bc9-b818-28dddd3495dd,1,st,"",1,1,3.6000000000,2,ML_FH_Household_Full_G1
93,uuid:ad78056e-1d40-4537-bc1c-bdddbef61039,uuid:3cfc7b6d-5571-40bd-968a-00ee6a6634fd,uuid:3cfc7b6d-5571-40bd-968a-00ee6a6634fd,1,st,"",2,0,"","",ML_FH_Household_Full_G1
94,uuid:b02f06d3-08dd-4f86-b17b-a3f33e751375,uuid:90e525fc-298a-4772-945e-cdd63d3af771,uuid:90e525fc-298a-4772-945e-cdd63d3af771,1,st,"",2,1,2.6000000000,2,ML_FH_Household_Full_G1
95,uuid:b1bbc959-76ba-4be9-8430-ca8d88b92a0c,uuid:35f81a2e-88bd-4874-847b-d25b46367f97,uuid:35f81a2e-88bd-4874-847b-d25b46367f97,1,st,"",2,1,3.2000000000,2,ML_FH_Household_Full_G1
96,uuid:b5073d6f-e5eb-40bd-93b3-a8fe32b7293a,uuid:7f1f427c-5c3c-4eaa-9fc4-4615498c0e13,uuid:7f1f427c-5c3c-4eaa-9fc4-4615498c0e13,1,st,"",2,0,"","",ML_FH_Household_Full_G1
97,uuid:bbc78477-861f-4064-9980-c0cc9af2f0ec,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb,1,st,"",2,1,8.0000000000,2,ML_FH_Household_Full_G1
98,uuid:bc007efe-1092-47d6-bedb-198aed5c0b32,uuid:d2142939-c67f-426c-b25f-eefc8c0c216a,uuid:d2142939-c67f-426c-b25f-eefc8c0c216a,1,st,"",2,0,"","",ML_FH_Household_Full_G1
99,uuid:bc744546-726e-4fab-af98-92c210d78b7c,uuid:442ea5ff-5826-42eb-b04c-ef413aaf425f,uuid:442ea5ff-5826-42eb-b04c-ef413aaf425f,1,st,"",2,1,3.8000000000,2,ML_FH_Household_Full_G1
100,uuid:bde0c5f3-cb83-452a-a041-e52400534ae3,uuid:663b50b5-2da6-4fc0-a94a-9f4e358d1da1,uuid:663b50b5-2da6-4fc0-a94a-9f4e358d1da1,1,st,"",2,1,3.4000000000,2,ML_FH_Household_Full_G1
101,uuid:be149174-637a-4293-877c-3ad6306b2131,uuid:80e9f397-b333-46ca-bcc8-55ddcd908d87,uuid:80e9f397-b333-46ca-bcc8-55ddcd908d87,1,st,"",2,1,3.7000000000,2,ML_FH_Household_Full_G1
102,uuid:bea716d1-d645-4a59-b5af-949264249fc7,uuid:51988f3f-b30e-4ef4-a893-5eed52125e75,uuid:51988f3f-b30e-4ef4-a893-5eed52125e75,1,st,"",2,1,3.5000000000,1,ML_FH_Household_Full_G1
103,uuid:bfb0a220-a62e-4760-a9cb-05a470305720,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,2,nd,"",1,1,2.6000000000,2,ML_FH_Household_Full_G1
104,uuid:c59bb9db-854f-490c-b797-85a5096affc1,uuid:935c9e59-c4a3-49dd-9dfc-9eab3b0bd21c,uuid:935c9e59-c4a3-49dd-9dfc-9eab3b0bd21c,1,st,"",1,1,2.4000000000,2,ML_FH_Household_Full_G1
105,uuid:c66fc479-6b5a-45d0-b9bf-cebf37f33891,uuid:a0efc9cf-7214-4f61-8382-e877600e0284,uuid:a0efc9cf-7214-4f61-8382-e877600e0284,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
